Study Hours,Exam Scores
3.7,87.9
9.5,143.6
7.3,123.7
6.0,99.9
1.6,64.5
1.6,67.4
0.6,63.2
8.7,134.0
6.0,106.1
7.1,118.3
0.2,56.6
9.7,148.6
8.3,130.6
2.1,73.8
1.8,68.7
1.8,73.2
3.0,76.9
5.2,100.8
4.3,91.2
2.9,71.8
6.1,112.7
1.4,65.3
2.9,79.2
3.7,85.5
4.6,88.5
7.9,126.4
2.0,68.3
5.1,97.4
5.9,108.4
0.5,56.7
6.1,120.2
1.7,67.9
0.7,57.8
9.5,144.5
9.7,137.0
8.1,130.7
3.0,80.8
1.0,72.1
6.8,117.5
4.4,95.5
1.2,62.0
5.0,93.7
0.3,59.2
9.1,144.7
2.6,79.8
6.6,111.7
3.1,88.2
5.2,95.0
5.5,107.6
1.8,79.4
9.7,142.0
7.8,124.7
9.4,144.4
8.9,137.0
6.0,102.0
9.2,142.5
0.9,53.5
2.0,72.0
0.5,49.9
3.3,90.3
3.9,85.0
2.7,75.5
8.3,136.9
3.6,79.5
2.8,79.2
5.4,110.8
1.4,56.1
8.0,131.1
0.7,58.8
9.9,152.6
7.7,121.0
2.0,63.3
0.1,53.2
8.2,133.0
7.1,121.9
7.3,124.6
7.7,123.7
0.7,58.6
3.6,87.3
1.2,58.0
8.6,145.6
6.2,114.7
3.3,77.1
0.6,59.6
3.1,76.2
3.3,86.5
7.3,128.8
6.4,109.7
8.9,143.5
4.7,99.3
1.2,66.1
7.1,130.8
7.6,124.9
5.6,102.4
7.7,122.6
4.9,95.3
5.2,101.9
4.3,94.5
0.3,53.9
1.1,64.9
